"Market Place","Crop Variety","Producer Min","Producer Max","Wholesale Min","Wholesale Max","Retail Min","Retail Max","Volume","Collection Date"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2400,2500,2550,2650,"Sufficient","2019-05-02"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2450,2550,2550,2700,"Sufficient","2019-05-09"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2400,2550,2600,2700,"Sufficient","2019-05-16"
"Bale Robe","White Teff (Quintal)",0,0,0,0,0,0,"Under","2019-05-16"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2450,2550,2600,2750,"Sufficient","2019-05-23"
"Adama City","White Teff (Quintal)",2900,3000,0,0,2900,3000,"Sufficient","2019-05-23"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2450,2550,2600,2750,"Sufficient","2019-05-30"
"Bale Robe","White Teff (Quintal)",0,0,2450,2500,2550,2600,"Under","2019-05-30"
"Adama City","White Teff (Quintal)",2900,3000,0,0,2900,3000,"Sufficient","2019-05-30"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2500,2600,2600,2800,"Sufficient","2019-06-06"
"Adama City","White Teff (Quintal)",0,0,2850,2900,2950,3050,"Sufficient","2019-06-06"
"Adama City","White Teff (Quintal)",0,0,3000,3050,3080,3100,"Sufficient","2019-06-13"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2650,2800,2800,3100,"Sufficient","2019-06-20"
"Adama City","White Teff (Quintal)",0,0,2900,2950,3000,3050,"Sufficient","2019-06-20"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2650,2800,2800,3100,"Sufficient","2019-06-27"
"Adama City","White Teff (Quintal)",0,0,2900,2950,3000,3000,"Under","2019-06-27"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2650,2800,2800,3100,"Sufficient","2019-07-04"
"Adama City","White Teff (Quintal)",0,0,2900,2950,3000,3050,"Sufficient","2019-07-04"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2650,2800,2800,3100,"Sufficient","2019-07-11"
"Bale Robe","White Teff (Quintal)",0,0,2750,2800,2900,2976,"Under","2019-07-11"
"Adama City","White Teff (Quintal)",0,0,0,0,2900,3000,"Sufficient","2019-07-11"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2750,3000,2900,3200,"Sufficient","2019-07-18"
"Adama City","White Teff (Quintal)",0,0,2880,2900,2950,3000,"Sufficient","2019-07-18"
"Bale Robe","White Teff (Quintal)",0,0,2800,2820,2840,2852,"Sufficient","2019-07-18"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2800,3000,2950,3300,"Sufficient","2019-07-25"
"Bale Robe","White Teff (Quintal)",0,0,2800,2825,2852,2860,"Under","2019-07-25"
"Adama City","White Teff (Quintal)",0,0,2950,3000,3050,3100,"Sufficient","2019-07-25"
"Adama City","White Teff (Quintal)",0,0,2950,3000,3100,3200,"Sufficient","2019-08-01"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2800,3000,2900,3200,"Sufficient","2019-08-01"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2850,3000,2950,3200,"Sufficient","2019-08-08"
"Adama City","White Teff (Quintal)",0,0,3000,3100,3200,3250,"Sufficient","2019-08-08"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2900,3050,2950,3200,"Sufficient","2019-08-15"
"Adama City","White Teff (Quintal)",0,0,2950,3000,3100,3200,"Sufficient","2019-08-15"
"Bale Robe","White Teff (Quintal)",0,0,2750,2780,2800,2850,"Under","2019-08-15"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,3000,3100,3100,3300,"Sufficient","2019-08-22"
"Adama City","White Teff (Quintal)",0,0,2780,2800,2850,2900,"Sufficient","2019-08-22"
"Bale Robe","White Teff (Quintal)",0,0,2650,2680,2700,2730,"Under","2019-08-22"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,3000,3200,3200,3400,"Sufficient","2019-08-29"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,3050,3200,3250,3400,"Sufficient","2019-09-05"
"Adama City","White Teff (Quintal)",0,0,2700,2800,2850,2900,"Sufficient","2019-09-05"
"Bale Robe","White Teff (Quintal)",0,0,2850,2900,2920,2945,"Under","2019-09-05"
"Adama City","White Teff (Quintal)",0,0,3000,3100,3150,3200,"Sufficient","2019-09-19"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,3000,3200,3200,3400,"Sufficient","2019-09-19"
"Bale Robe","White Teff (Quintal)",0,0,2800,2840,2850,2852,"Under","2019-09-19"
"Bale Robe","White Teff (Quintal)",0,0,2800,2820,2845,2860,"Under","2019-09-26"
"Adama City","White Teff (Quintal)",0,0,2950,3000,3150,3200,"Sufficient","2019-09-26"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,3100,3250,3200,3400,"Sufficient","2019-10-03"
"Bale Robe","White Teff (Quintal)",0,0,2800,2830,2852,2860,"Sufficient","2019-10-03"
"Adama City","White Teff (Quintal)",0,0,2700,2750,2800,2900,"Sufficient","2019-10-03"
"Adama City","White Teff (Quintal)",0,0,2700,2780,2800,2900,"Sufficient","2019-10-10"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,3100,3250,3200,3400,"Sufficient","2019-10-10"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,3100,3200,3200,3400,"Sufficient","2019-10-17"
"Adama City","White Teff (Quintal)",0,0,2700,2750,2800,2900,"Sufficient","2019-10-17"
"Bale Robe","White Teff (Quintal)",0,0,2800,2840,2865,2885,"Under","2019-10-17"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,3100,3200,3200,3400,"Sufficient","2019-10-24"
"Yaye","White Teff (Quintal)",0,0,2750,3120,2800,3200,"Under","2019-10-29"
"Finchaha","White Teff (Quintal)",0,0,0,0,2330,2480,"Under","2019-10-30"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,3150,3250,3300,3400,"Sufficient","2019-10-31"
"Adama City","White Teff (Quintal)",0,0,2700,2800,2900,3000,"Sufficient","2019-10-31"
"Yaye","White Teff (Quintal)",2680,3020,2710,3070,2760,3140,"Sufficient","2019-11-05"
"Finchaha","White Teff (Quintal)",0,0,0,0,2204,2480,"Under","2019-11-06"
"Adama City","White Teff (Quintal)",0,0,2700,2800,2900,3000,"Sufficient","2019-11-07"
